,tweet
0, ज्येष्ठ पत्रकार अनंत दीक्षित यांच्या निधनाचे वृत्त दु खद आहे चार दशकं त्यांनी आपल्या परखड लेखणीने पत्रकारितेत अमूल्य योगदान दिले दीक्षित यांच्या मार्गदर्शनाखाली पत्रकारांची पिढी घडली अनंत दीक्षित यांना भावपूर्ण श्रद्धांजली आम्ही त्यांच्या परिवाराच्या दु खात सहभागी आहोत 
1, सर्वोच्च न्यायालयाचे निर्देश डावलून पुणे पोलिसांनी प्रा आनंद तेलतुंबडेंना अटक केली मात्र न्यायालयाने त्यांची अटक बेकायदेशीर ठरवून सरकारला जोरदार चपराक लगावली आहे कायदा हातात घेणा या पोलीस अधिका यांवर तात्काळ कारवाई केली पाहिजे 
2, उद्धव ठाकरेंनी भाजपासोबत युती करून शिवसैनिकांचा अवमान व विश्वासघात केला आहे फसवणूक झालेल्या शिवसैनिकांबद्दल मला सहानुभूती असून स्वार्थासाठी उद्धव ठाकरे भाजपसोबत गेले तरी मोदींचे सरकार घालवण्यातच महाराष्ट्राचे हित आहे हे जाणणारे शिवसैनिक मोदींच्या विरोधात काँग्रेसला मतदान करतील 
3,बलात्काराचा बदला बलात्काराने घेतला पाहिजे हे म्हणणारे सावरकर आम्हाला मान्य नाहीत द्वेष आणि तिरस्कार हिंदू धर्मातही अभिप्रेत कधीच नव्हता आम्ही सावरकरांच्या विचारांचा विरोध करताच राहू त्यात व्यक्तीद्वेष नाही तर वैचारिक विरोध आहे हा देश गांधींच्या विचारांनीच चालेल 
4, पालखी सोहळ्यात अपघात झाल्याची बातमी दुःखद आहे या रस्त्याचे चौपदरीकरण रखडले आहे जी महाराष्ट्राच्या भावविश्वात पालखी सोहळ्याला मोठे महत्त्व आहे या सोहळ्यात अपघात घडणे खेदजनक आहे कृपया आपण वैयक्तिक लक्ष घालून पालखी मार्गाचे काम पुर्ण करण्याचे आदेश द्यावेत ही विनंती 
5, अखिल भारतीय विद्यार्थी परिषदेपासूनचे माझे सहकारी सुनील शिंदे यांचे वडील अनंत शिंदे म्हणजे आमच्या सर्वांचे दादा यांचे आज सकाळी देहावसान झाले त्यांच्या निधनाने आम्हां सर्वांना अतिशय दु ख झाले आहे दादांना भावपूर्ण श्रद्धांजली 
6, सोलापूरचा कापड व्यवसाय बंद झालेला आहे हा उद्योग शेजारच्या राज्याने बळकावला आहे मात्र सोलापूरला काही देण्याची दानत या सरकारकडे नाही हल्लाबोल सोलापूर 
7, पोलिसांनी ठरवलं तर मंदिरासमोरची चप्पल पण चोरीला जाऊ शकत नाही सिंघम चा हा डायलॉग शंभर टक्के खरा आहे पण सुशांत सिंग रजपूतच्या केसमध्ये मुंबई पोलिसांनी का ठरवले नाही कुणी त्यांना ठरवू दिले नाही कुणी त्यांना त्यांच्या नाव लौकिक ख्यातीप्रमाणे काम करु दिले नाही 
8, माध्यमांची मुस्कटदाबी आणि अभिव्यक्तीची गळचेपी थांबवा मा राज्यपाल भगतसिंह कोश्यारीजी यांची आज भेट घेऊन त्यांना निवेदन दिले यावेळी माझे सहकारी विनोद तावडेजी प्रवीण दरेकर आशीष शेलार मंगलप्रभात लोढाजी उपस्थित होते 
9, भाजपाचे उद्याचे दुध आंदोलन संधीसाधू व गलिच्छ राजकारणाचे प्रतिक आहे जुलैला राज्य सरकार दुधाच्या प्रश्नावर महत्त्वपूर्ण निर्णय घेणार हे कळल्यावर आॅगस्ट रोजी घोषित केलेल्या अभिनव दुध आंदोलनाची तारीख तडकाफडकी बदलली 
10, बुलेट ट्रेन केवळ दिखावा आहे त्यात कुणीही बसणार नाही मा नरेंद्र मोदी 
11, विनायक मेटेंच्या नसत्या उठाठेवींनी मराठा आरक्षणावर बालंट काँग्रेसचा गंभीर आरोप 
12, तारखेला लॉकडाऊन उठवल्यास कोणाही एकत्र येऊन गर्दी करण्याची गरज नाही परिस्थिती गंभीर आहे याचे गांभीर्य लक्षात घेऊन वागावे लागेल हे संकट गंभीर आहे पण याआधीही अनेक संकटांना आपण सामोरे गेले आहोत 
