,tweet
0, आगामी निवडणुकांच्या पार्श्वभूमीवर आज म्हसळा तालुक्यातील कार्यकर्त्यांशी संवाद साधला व त्यांना मार्गदर्शन केले 
1, गजरौला उत्तर प्रदेश येथे अखिल भारतीय किसान संघर्ष समन्वय समितीची सभा सुरु येथे बोलताना खासदार राजू 
2, मा उपमुख्यमंत्र्यांनी त्याबदल्यात जलसंपदा विभागाला खावली येथील एकर जमीन देण्याचा प्रस्ताव ठेवला या प्रस्तावाला सर्वानुमते सहमती देण्यात आली यावेळी खा सहकार मंत्री आ शिवेंद्रसिंहराजे भोसले उपस्थित होते 
3, केंद्रीय गृहमंत्री मा अमित शाहजी यांची आज संसद भवन येथे सदिच्छा भेट घेतली 
4, अग्रलेखांचे बादशहा नीलकंठ खाडिलकर यांचा सर्वांनी वाचावा असा अग्रलेख मोदीजी एकही थाप न मारता मिनिटे बोलून दाखवा 
5, मा श्री नरेंद्र मोदींजींच्या सरकारच्या दुसऱ्या पर्वातील वर्षपूर्ती निमित्ते करण्यात आलेले कार्यक्रम तसेच कोरोना संकटकाळात केलेल्या सेवकार्याची माहिती घेण्यासाठी आज च्या नियोजनाप्रमाणे भाजपा दक्षिणमुंबई जिल्ह्याची आढावा बैठक घेतली 
6, आज इस्लाम जिमखाना येथे महाराष्ट्रातील विविध सामाजिक संस्थांचा संघ असणा या महाराष्ट्र मुस्लीम संघाच्या राज्यभरातून आलेल्या प्रतिनिधींशी संवाद साधला 
7, सैन्य दलाच्या के के रेंज सराव प्रकल्पाच्या विस्तारामुळे अहमदनगर जिल्ह्यातील गावांना अनेक अडचणींचा सामना करावा लागतोय या गावांमधील लोकसंख्या ही आदिवासीबहुल असून त्यांचे उपजीविका व सुरक्षेचे प्रश्न घेऊन पारनेरचे आ निलेश लंकेंसह संरक्षणमंत्री श्री राजनाथ सिंह यांची भेट घेतली 
8, माजी मुख्यमंत्री स्व शंकरराव चव्हाण यांच्या जन्मशताब्दी निमित्त ‘आधुनिक भगीरथ‘ या गौरवग्रंथाचा विमोचन समारंभ 
9, परिवर्तन झालंच पाहिजे हे सरकार गेलंच पाहिजे या संकल्पाने राज्यात निघालेली ची परिवर्तन यात्रा आज वडगाव खडकवासला येथे पोहचली यावेळी सरकारविरोधात एकवटलेल्या समुदायास संबोधित केले परिवर्तन यात्रा 
10, माझा लेख मला नवल वाटतं मुख्यमंत्री फडणवीस यांचं मराठा मोर्चे त्यांनी उत्तम हाताळले होते सतत संवादाचं आवाहन त्यावेळी ते करत होते मग आता आंदोलकांना वाटाघाटीसाठी बोलवायला त्यांनी पाच दिवस का घेतले 
11, तुरळक गर्दी अशी असते का आपली बातमी तात्काळ मागे घ्यावी 
12, आज मकर संक्रात मकरसंक्रांत हा भारतातील पौष महिन्यात येणारा एक शेती संबंधित सण आहे सौर कालगणनेशी संबंधित हा महत्वाचा भारतीय सण आहे भारतीय संस्कृती ही कृषी संस्कृती आहे या दिवसांमध्ये शेतांत आणि मळ्यांमध्ये आलेल्या 
13, आपल्या अग्रलेखातून अमेठीच्या विकासात गांधी परिवाराच्या योगदानाचा प्रश्न उपस्थित केला आहे मी स्वतः अमेठीमध्ये वर्षभर राहिलो आहे 
14, वाचनसंस्कृती जपण्यात विशेषांकाचे फार मोठे योगदान आहे बाबुजी गदिमा आणि पुलं या त्रयींच्या जन्मशताब्दीचे औचित्य साधून त्यांना मानवंदना देणारा ‘लोकराज्य’चा विशेषांक महाराष्ट्र शासनातर्फे प्रकाशित करण्यात आला आहे वाचकहो अवश्य वाचा 
15, भाजपा नेते आणि माजी अर्थ मंत्री सुधीरभाऊ मुनगंटीवार यांच्या हस्ते मी प्रकाशित केलेल्या माझ्या दिनदर्शिकेचे प्रकाशन केले 
